Company,Country,City,Duration (Mins),Distance (KM),Snow,Tourist_volume_of_cable_car,Cable car Price (SGD),Age_range,Is_Nature,Type_of_trip,is_citizen,PPP,normalized_PPP
Matterhorn Paradise - Zermatt - Schwarzsee,Switzerland,Zermatt,18,4.4,1,"2,000,000",23.23,2,0,1,1,84649.9399,1
Matterhorn Paradise - Zermatt - Schwarzsee,Switzerland,Zermatt,36,8.8,1,"2,000,000",35.95,2,0,0,1,84649.9399,1
Matterhorn Paradise - Zermatt - Riffelberg,Switzerland,Zermatt,23,3.1,1,"2,000,000",46.46,2,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Riffelberg,Switzerland,Zermatt,46,6.2,1,"2,000,000",71.93,2,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Riffelberg,Switzerland,Zermatt,23,3.1,1,"2,000,000",23.23,0,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Riffelberg,Switzerland,Zermatt,46,6.2,1,"2,000,000",35.95,4,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Riffelberg,Switzerland,Zermatt,23,3.1,1,"2,000,000",23.23,2,0,1,1,84649.9399,1
Matterhorn Paradise - Zermatt - Riffelberg,Switzerland,Zermatt,46,6.2,1,"2,000,000",35.95,2,0,0,1,84649.9399,1
Matterhorn Paradise - Zermatt - Trockener Steg,Switzerland,Zermatt,32,5.9,1,"2,000,000",46.46,2,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Trockener Steg,Switzerland,Zermatt,64,11.8,1,"2,000,000",71.93,2,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Trockener Steg,Switzerland,Zermatt,32,5.9,1,"2,000,000",23.23,0,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Trockener Steg,Switzerland,Zermatt,64,11.8,1,"2,000,000",35.95,4,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Trockener Steg,Switzerland,Zermatt,32,5.9,1,"2,000,000",23.23,2,0,1,1,84649.9399,1
